id,name,slug,category,subcategory,age_min,age_max,skills,sensory_focus,short_description,long_description,price,currency,image_main,image_gallery,stock_status,featured,tags
pt-cubetto-plus-playset,Cubetto+ Playset,cubetto-plus-playset,Educational Kits,Playset,3,6.0,coding basics|sequencing|problem solving|spatial reasoning,tactile|visual,"Screen-free coding robot playset for children aged 3+ with hands-on, Montessori-inspired learning.","Cubetto+ is a wooden, screen-free coding robot for children aged 3+ that introduces programming through tactile blocks and imaginative play. The set includes the robot, interface board, 24 coding blocks, a world map, storybook, and charging cable.",1101.17,SAR,images/products/educational-kits-cubetto-plus-playset-01.webp,[],unknown,True,montessori|screen-free|robotics|coding|flagship
pt-transparent-map-6x6,Transparent Map 6x6,transparent-map-6x6,Sensory Development Kits,Transparent Map,3,,storytelling|spatial reasoning|open-ended play,tactile|visual|spatial,Transparent map with pockets for themed flashcards so children can build their own adventures.,"A soft-touch transparent step map with 6 x 6 pockets for inserting themed flashcards and creating custom routes, stories, and classroom activities. The map measures 100 x 100 cm with a 15 x 15 cm grid and is made from recyclable TPU.",145.5,SAR,images/products/sensory-development-kits-transparent-map-6x6-01.webp,[],unknown,False,map|open-ended|flashcards|tpu|custom-play
pt-number-cards,Number Cards,number-cards,Educational Kits,Cards,3,,arithmetic|number recognition|symbol recognition,visual|tactile,Special cards for the transparent map that help children practice arithmetic.,"A set of 36 double-sided number cards for the transparent map, covering numbers 1–20, multiples of 5, and arithmetic symbols. Designed for tactile, screen-free early numeracy activities.",88.01,SAR,images/products/educational-kits-number-cards-01.webp,[],unknown,False,math|numeracy|flashcards|transparent-map
pt-logic-pack,Logic Pack,logic-pack,Educational Kits,Logic Pack,3,,logic|storytelling|problem solving|pattern recognition,visual|tactile,Storybooks and flashcards that extend Logic Blocks with new logical concepts and adventures.,"An expansion pack for Cubetto Logic Blocks with four storybooks, 32 illustrated flash cards, and a sticker sheet. It adds guided activities for teaching logical concepts through stories and hands-on play.",154.34,SAR,images/products/educational-kits-logic-pack-01.webp,[],unknown,False,logic|expansion|storybooks|flashcards
pt-alphabet-cards,Alphabet Cards,alphabet-cards,Educational Kits,Cards,3,,letter recognition|reading|writing|literacy,visual|tactile,Special cards for the transparent map that help children practice reading and writing.,"A set of 36 double-sided alphabet cards for the transparent map with uppercase and lowercase letters, including language-specific characters. Built for screen-free early literacy activities.",88.01,SAR,images/products/educational-kits-alphabet-cards-01.webp,[],unknown,False,literacy|alphabet|flashcards|transparent-map
pt-logic-blocks,Logic Blocks,logic-blocks,Educational Kits,Blocks,3,,logic|sequencing|conditional thinking|problem solving,tactile|visual,"Extra coding blocks that introduce random, negation, and function concepts for Cubetto.","An expansion block set for Cubetto that introduces negation, random, and function blocks. It extends tactile coding play with more advanced sequencing and logic combinations.",145.5,SAR,images/products/educational-kits-logic-blocks-01.webp,[],unknown,False,coding|logic|expansion-blocks|functions
pt-direction-blocks,Direction Blocks,direction-blocks,Educational Kits,Blocks,3,,sequencing|directional reasoning|motor planning|coding basics,tactile|visual,"Physical direction blocks for steering Cubetto through adventures, now including backward movement.","A tactile coding block set that includes backward, left, right, and forward commands for Cubetto. It helps children understand movement, direction, and sequencing through physical play.",145.5,SAR,images/products/educational-kits-direction-blocks-01.webp,[],unknown,False,coding|movement|direction|expansion-blocks
pt-deep-space-adventure-map,Deep Space Adventure Map,deep-space-adventure-map,Sensory Development Kits,Adventure Map,3,,storytelling|spatial reasoning|navigation|imaginative play,visual|tactile|spatial,"A deep-space themed adventure map for exploring planets, the ISS, and the solar system with Cubetto.","A themed fabric adventure map that takes children through the solar system with imaginative screen-free missions. Designed to support tactile route planning, storytelling, and spatial play with Cubetto.",145.5,SAR,images/products/sensory-development-kits-deep-space-adventure-map-01.webp,[],unknown,False,space|map|adventure|storytelling
pt-blue-ocean-adventure-map,Blue Ocean Adventure Map,blue-ocean-adventure-map,Sensory Development Kits,Adventure Map,3,,storytelling|spatial reasoning|navigation|imaginative play,visual|tactile|spatial,"An ocean-themed adventure map for underwater journeys, treasures, and marine exploration.","A themed fabric map that invites children to guide Cubetto through underwater adventures featuring volcanoes, treasures, and icy seas. It supports tactile navigation and imaginative storytelling.",145.5,SAR,images/products/sensory-development-kits-blue-ocean-adventure-map-01.webp,[],unknown,False,ocean|map|adventure|storytelling
pt-ancient-egypt-adventure-map,Ancient Egypt Adventure Map,ancient-egypt-adventure-map,Sensory Development Kits,Adventure Map,3,,storytelling|spatial reasoning|navigation|historical exploration,visual|tactile|spatial,"A historical adventure map that takes children through pyramids, treasures, and ancient mysteries.","A themed map for Cubetto that centers on pyramids, hieroglyphics, treasures, and historical storytelling. It supports route planning and imaginative play through tactile exploration.",145.5,SAR,images/products/sensory-development-kits-ancient-egypt-adventure-map-01.webp,[],unknown,False,egypt|history|map|adventure
pt-big-city-adventure-map,Big City Adventure Map,big-city-adventure-map,Sensory Development Kits,Adventure Map,3,,storytelling|spatial reasoning|navigation|urban exploration,visual|tactile|spatial,"A city-themed adventure map with traffic, landmarks, parks, and urban routes to explore.","A themed fabric map for navigating a busy city full of streets, skyscrapers, landmarks, and markets. It encourages tactile route planning, observation, and imaginative city-based stories.",145.5,SAR,images/products/sensory-development-kits-big-city-adventure-map-01.webp,[],unknown,False,city|urban|map|adventure
